gender,scenario,pitch
F,1,213.3
F,1,204.5
F,2,285.1
F,2,259.7
F,3,203.9
F,3,286.9
F,4,250.8
F,4,276.8
F,5,231.9
F,5,252.4
F,6,181.2
F,6,230.7
F,7,216.5
F,7,154.8
F,1,229.7
F,1,237.3
F,2,236.8
F,2,251
F,3,267
F,3,266
F,4,275.4
F,4,306.8
F,5,232.6
F,5,252.5
F,6,226.5
F,6,278.8
F,7,264.4
F,7,185.5
M,1,110.7
M,1,123.6
M,2,229
M,2,114.9
M,3,112.2
M,3,213.6
M,4,193.4
M,4,162.9
M,5,101.8
M,5,126.9
M,6,NA
M,6,136.2
M,7,146
M,7,126.5
M,1,86.1
M,1,99.1
M,2,82.2
M,2,104.3
M,3,85.9
M,3,110.2
M,4,97.1
M,4,120
M,5,93.7
M,5,102.9
M,6,108.8
M,6,108.2
M,7,124.4
M,7,107.6
F,1,232.7
F,1,231.3
F,2,246.3
F,2,259.7
F,3,289.4
F,3,301.8
F,4,243.2
F,4,296.2
F,5,277.7
F,5,294.2
F,6,208
F,6,225.9
F,7,281
F,7,227.2
M,1,153.8
M,1,188.8
M,2,142.4
M,2,199.7
M,3,160.2
M,3,186.1
M,4,207.5
M,4,190.9
M,5,160.7
M,5,156.5
M,6,146.7
M,6,158
M,7,161.1
M,7,153.3
